walletAddress,contribution
zVioKp1fSEQk65UCUQE1nr7fsqmpE3ZLehy7pxBS14D,5
HUmEmGjgomjb59kfFeRCm9yRjEMBqpCAn6tKv7tXs7Bz,1
47HvQsRmGeketgLxxWYwP4K7vqJ5rHBY154JHbiP4nUb,0.5
92bMg9YJBsAWvNrWyFFW7UYiW3R6wc8J8S1NrH98bSC6,0.7
6sdLrbTSwWXoZiRYyMoRVRrXhh6RjHvBQE4ap9BQMfzW,0.25
4JMt5UTBy9BNUQhgf2vJ59cHyVdn25jmEFdSRMxXuvah,0.5
7F42si9Sathg5gnwSqYrifutFMNj2h7BbicBT8RVcD22,0.8
Hnbzj8aL8S98s5BCGnLj8tyncnNzjzQpCB755GksNoE3,1.0
5dmB9xFQQ8hkj2EtVb1AD7Rncb4Gp99EUUg2saLF5DSf,0.9
bvbM6Dyr4hFaDdh8uqoTCyRmSH8s7cK9eHT5g8mp8XR,1.0
rMkixr5sfKTRPwAdhnXrrWdYv7rJ8TL87Sm1pkus4M2,0.5
